FishID,DO,Mass,Length,Condition Factor,Catchability ,bodyL,bodyW,eyeH,headH,caudalW,a,b,c,body ratio,head ratio,caudal ratio,head angle,BlueMean,GreenMean,RedMean,BlueStdDev,GreenStdDev,RedStdDev,BlueMin,GreenMin,RedMin,BlueMax,GreenMax,RedMax,Marks
3,19.3,1.2,53,0.806034512,1,155.0032258,33,5.099019514,20.22374842,17.02938637,16.1245155,12.52996409,20.22374842,0.212898795,0.252130288,0.109864722,88.86557837,62.407,63.19627273,60.84245455,6.184181818,8.835727273,14.84490909,55.36363636,52.81818182,43,71.54545455,76.54545455,82.09090909,11
4,18.7,1.63,60,0.75462963,1,178.002809,35,6,25.01999201,19.10497317,16.40121947,20.51828453,25.01999201,0.196626111,0.23980823,0.107329616,84.54352604,67.55081818,66.03509091,64.44872727,9.155090909,12.501,18.73690909,53.54545455,46.36363636,31.09090909,91.90909091,98.72727273,109.2727273,11
5,18.1,1.05,52,0.746756941,1,153.1176019,28.01785145,5,21.02379604,18.11077028,16.40121947,13.60147051,21.02379604,0.182982564,0.237825747,0.118280133,88.45878136,52.6803,53.8239,49.0162,7.3616,10.9047,20.7606,42,38.1,14.2,68.1,76.3,86.6,10
6,17.9,1.75,60,0.810185185,1,177.138364,38.11823711,6,22,21.21320344,16.2788206,14.86606875,22,0.215189055,0.272727273,0.119754992,89.76324193,66.968,67.4096,63.4469,8.6348,11.5852,17.8587,53.6,49.1,30.1,89.5,97.9,107.1,10
7,17.7,0.43,39,0.724894216,1,118.0381294,20.09975124,5.099019514,18.11077028,11.40175425,11.3137085,14.14213562,18.11077028,0.170281852,0.281546253,0.096593824,90,37.278,40.78525,28.573375,6.336875,9.364625,19.447,29.375,28.5,2.875,47.875,56.625,58.25,8
8,17.7,0.68,45,0.746227709,1,137.0145978,26.01922366,4,18,15.13274595,14.86606875,13.60147051,18,0.189901106,0.222222222,0.110446231,78.30106239,45.547,47.7335,36.57083333,9.6715,13.62783333,25.51916667,35,32.33333333,4.833333333,64.16666667,73.33333333,81.16666667,6
10,17.6,1.24,50,0.992,1,149.083869,29.06888371,6,21,18.24828759,16.2788206,14.2126704,21,0.194983427,0.285714286,0.122402831,86.77895978,58.213375,64.758,59.6325,10.749875,15.584625,25.369875,42.875,42.625,15.875,87.5,106.875,121.5,8
11,17.6,1.27,52,0.9032203,1,158.3161394,33.06055051,7,23.08679276,18.11077028,20.51828453,19.23538406,23.08679276,0.208826154,0.303203657,0.114396235,70.92233702,66.06033333,65.143,56.53211111,6.980555556,10.47633333,18.40511111,55.55555556,50.33333333,27,79.22222222,85.11111111,88.55555556,9
12,16.5,1.33,56,0.757334184,1,171,32,7,23.02172887,14.03566885,17.69180601,17.80449381,23.02172887,0.187134503,0.30406057,0.082079935,80.86661654,75.92288889,75.69277778,69.08111111,11.91922222,15.74666667,23.548,56.88888889,50,24.55555556,104.3333333,113.4444444,121.3333333,9
13,16.3,3.7,79,0.750447733,1,236.0084744,40,7.071067812,31.06444913,23.19482701,19.84943324,21.9317122,31.06444913,0.169485439,0.227625727,0.098279636,95.93322705,77.35511111,75.99144444,67.38944444,9.663,13.66688889,21.75255556,62.44444444,54.66666667,29,100.6666667,109.1111111,117.1111111,9
14,16.3,1.95,60,0.902777778,1,180.0111108,39.20459157,9.055385138,26.01922366,20.02498439,22.02271555,17.49285568,26.01922366,0.217789843,0.348026723,0.111243047,81.49129668,93.72942857,95.347,97.70514286,10.66614286,15.078,21.43271429,70.42857143,62.42857143,44.14285714,119.5714286,132.8571429,148.1428571,7
15,16.3,0.92,46,0.945179584,1,140.0892573,30.2654919,5,20,18.02775638,16.40121947,12.20655562,20,0.216044346,0.25,0.128687643,87.42342817,76.45633333,73.514,71.90977778,10.77433333,14.84,22.73366667,58.22222222,49,29,102.4444444,109.3333333,122.8888889,9
16,16.2,2.67,66,0.928708573,1,201.2486025,42.04759208,6.08276253,27.07397274,23.02172887,22.20360331,17.49285568,27.07397274,0.208933585,0.22467196,0.114394478,85.12610358,66.88925,67.79416667,60.716,9.6755,13.82875,22.87383333,55.33333333,51.41666667,28.41666667,86.16666667,95.25,102.1666667,12
17,16.1,1.83,63,0.73186241,1,188.4489321,36.05551275,7.071067812,24.0208243,21.58703314,18.43908891,19.20937271,24.0208243,0.191327764,0.294372405,0.114551104,79.2611029,78.6948,82.973,83.3344,9.6992,13.4505,20.2092,59.9,56.8,39.1,100,112.9,126.3,10
18,16.1,1.09,50,0.872,1,154.2076522,31.25699922,6.08276253,23,17.2626765,16.97056275,16.2788206,23,0.202694216,0.264467936,0.111944357,87.51044708,64.02181818,66.65745455,63.924,9.313545455,13.21509091,21.30145455,51.54545455,48.90909091,30.90909091,85.54545455,97.81818182,110.2727273,11
19,16.1,0.95,54,0.603312503,1,158.202402,34.05877273,5,21,18,18.02775638,11.66190379,21,0.215286066,0.238095238,0.113778298,87.27368901,83.32590909,89.79609091,91.48427273,13.08327273,18.24936364,28.77554545,67.45454545,67,51.36363636,108.7272727,125.9090909,144.0909091,11
20,16,2.9,74,0.715653564,1,219.0022831,44.01136217,7,28.01785145,24.33105012,19.84943324,19.10497317,28.01785145,0.200963029,0.249840714,0.111099527,91.96452038,66.81055556,63.80255556,57.18322222,12.10566667,16.83133333,27.08411111,50.55555556,40.55555556,16.55555556,96.88888889,104.6666667,117.1111111,9
