Fish ID,DO,Mass,Length,Condition Factor,Catchability ,bodyL,bodyW,eyeH,headH,caudalW,a,b,c,body ratio,head ratio,caudal ratio,head angle,BlueMean,GreenMean,RedMean,BlueStdDev,GreenStdDev,RedStdDev,BlueMin,GreenMin,RedMin,BlueMax,GreenMax,RedMax,Marks,Area
1,20.5,1.5,55,0.901577761,1,166.1926593,33.01514804,7,26,18.43908891,20,21.26029163,26,0.198655874,0.269230769,0.11095008,78.05582281,78.601125,73.445375,52.6225,8.139125,9.9615,12.07425,66.5,58.625,32.375,95.125,93.125,75.625,8,1.956
3,19.2,1.26,59,0.61349992,1,168.0267836,34.05877273,6.32455532,21,20.09975124,18.43908891,16.64331698,21,0.202698475,0.301169301,0.119622306,73.33652092,68.86466667,71.45408333,66.898,7.739666667,9.709,12.40825,55.33333333,54.5,44.33333333,82.66666667,89.16666667,88.41666667,12,2.3845
5,18.2,1.25,53,0.839619283,1,148.2160585,33.06055051,5.830951895,22.84731932,16.03121954,17.88854382,17.72004515,22.84731932,0.223056468,0.255213831,0.108161151,79.82448916,82.25590909,82.50490909,65.748,13.69827273,16.44845455,19.217,63.90909091,60.36363636,39.63636364,111.6363636,116.8181818,105.1818182,11,1.781727273
6,18.2,0.92,49,0.781987097,1,139.3018306,31,6.32455532,20.88061302,15.29705854,16.1245155,15.23154621,20.88061302,0.222538353,0.302891266,0.10981233,83.45370922,64.1999,64.0151,51.427,7.8634,9.4585,12.5487,52.3,48.9,29.5,78.8,81,72.5,10,1.6794
7,17.9,1.24,54,0.787481583,1,147.0306091,29.01723626,5.099019514,22.47220505,15.03329638,14.4222051,18.35755975,22.47220505,0.197355071,0.22690339,0.102246032,85.66768602,67.10877778,67.51933333,47.65433333,13.33688889,16.174,22.07011111,50.22222222,46.77777778,13.11111111,96.66666667,102.5555556,91.66666667,9,2.348333333
8,17.9,0.75,47,0.722383287,1,130.0038461,26.01922366,4.123105626,19.41648784,13.03840481,13.60147051,14.4222051,19.41648784,0.200141953,0.212350743,0.100292454,87.66269414,75.863,82.9325,70.395625,10.912125,12.82075,15.428,60.375,64.125,44.625,97.375,108,99.375,8,1.865875
9,17.8,1.02,52,0.725421029,1,144.3606595,27.29468813,4.472135955,22.82542442,16.03121954,17.72004515,16.2788206,22.82542442,0.189072897,0.195927833,0.11104978,84.23011494,64.1576,67.5693,53.0151,14.6896,17.5557,21.0905,45.3,43.8,16.9,96.5,105.8,96.8,10,2.5145
10,17.8,1.14,52,0.810764679,1,145,27.07397274,4.123105626,21.37755833,15.29705854,16.64331698,14.76482306,21.37755833,0.186717053,0.192870746,0.105496955,85.56552949,63.277875,63.486625,46.453,9.46525,11.071625,13.767125,48.75,46.375,22.25,81.375,84.5,73,8,1.816875
11,17.7,1.42,57,0.766767642,1,156.2593997,31.01612484,5.385164807,20.22374842,17.11724277,16.40121947,14.76482306,20.22374842,0.198491258,0.266279262,0.109543764,80.73216374,71.6934,70.2052,58.678,5.2736,6.1219,7.9959,61.8,59.6,44.7,83.2,84.3,76.3,10,2.0314
12,17.5,1.58,57,0.853163996,1,159.3141551,34.23448554,6.08276253,22.56102835,19.10497317,17.69180601,19.23538406,22.56102835,0.214886653,0.269613709,0.119920124,75.18788107,76.23125,77.4725,56.98883333,8.609166667,10.48491667,13.9815,63.33333333,61.91666667,35.66666667,91.83333333,96.16666667,82.66666667,12,1.862
13,17.5,1.8,63,0.719864665,1,171.0116955,36.22154055,5,25.07987241,20.09975124,19.10497317,18.60107524,25.07987241,0.211807388,0.199363056,0.117534366,83.37493413,60.1223,60.6785,42.8184,9.2479,10.8094,13.9881,46,44.3,18.5,81.9,86.8,74.4,10,3.3278
14,17.4,1.58,55,0.949661908,1,182.3951754,41,6.08276253,24.33105012,20.09975124,17.02938637,18.60107524,24.33105012,0.224786648,0.25,0.110198919,86.01747943,95.862,97.8162,75.0176,11.1683,13.3777,16.4391,78.2,77.1,48.8,118.8,125.4,108.8,10,2.7767
15,17.3,1.8,61,0.793017918,1,172.002907,35,6.08276253,24.33105012,19.10497317,18.43908891,21.63330765,24.33105012,0.203484933,0.25,0.111073548,74.29136217,93.60318182,93.46172727,73.49154545,13.09772727,15.63854545,18.97727273,72,66.81818182,40.27272727,121.4545455,125.7272727,112.3636364,11,3.390818182
17,17.2,1.54,54,0.978001321,1,152.1610988,31.25699922,7,24,19.23538406,19.84943324,15.8113883,24,0.205420436,0.291666667,0.126414597,83.78077031,96.4913,99.7764,72.34,15.8474,18.4217,21.7629,73.1,72,38,131.3,139.7,119.7,10,2.9915
18,17.2,3.29,73,0.845721395,1,206.0606707,43.01162634,7.071067812,27.01851217,26.47640459,21.21320344,20,27.01851217,0.208732827,0.261711961,0.128488394,81.86989765,69.86642857,69.44257143,47.81985714,13.05742857,15.92657143,18.05885714,49.71428571,44.42857143,15.57142857,98.71428571,105,86.57142857,7,4.028571429
19,17.1,3.35,76,0.763139671,1,208.0024038,44.28317965,6.32455532,28.86173938,25.17935662,25.05992817,19.92485885,28.86173938,0.212897442,0.219132854,0.1210532,78.91510871,89.50136364,83.38118182,65.75672727,8.697545455,10.43272727,11.58809091,75.54545455,66.45454545,43.90909091,112.3636364,111.8181818,94.81818182,11,5.237727273
20,17,1.73,58,0.88667022,1,163.2482772,32.984845,7.280109889,25.3179778,16.4924225,21.09502311,16.55294536,25.3179778,0.20205325,0.287547052,0.101026625,83.58732786,70.79718182,72.73509091,57.52972727,9.994090909,11.31118182,13.47454545,58,57.36363636,37.09090909,91.90909091,96.54545455,84.45454545,11,2.336363636
21,16.9,1.33,51,1.002630964,1,145.0137924,34.13209633,6.08276253,21.09502311,19.10497317,17.02938637,15.26433752,21.09502311,0.235371379,0.288350598,0.131745904,81.37114394,87.62571429,95.17642857,70.56014286,15.124,16.69585714,18.24414286,66.28571429,70.57142857,40.85714286,123.5714286,134.5714286,110.5714286,7,2.985285714
22,16.9,2.43,64,0.926971436,1,182.0686684,43.01162634,6,23.08679276,21.09502311,17.02938637,19.20937271,23.08679276,0.236238485,0.259888849,0.115863005,78.89616656,56.51766667,55.943,48.22455556,6.553,7.556111111,8.891777778,46.55555556,43.66666667,32.33333333,71.22222222,73.11111111,67.66666667,9,4.869111111
24,16.8,2.97,70,0.865889213,1,200.0099998,41.01219331,6.08276253,27.01851217,21.58703314,22.6715681,21.63330765,27.01851217,0.205050714,0.225133142,0.107929769,75.11373315,96.50809091,93.24627273,72.41763636,13.77018182,16.48790909,19.43963636,73.45454545,65.09090909,36.81818182,130,132.1818182,116.9090909,11,4.400545455
25,16.8,1.16,52,0.824988621,1,145.0137924,31.01612484,5.099019514,20.09975124,13.34166406,15.55634919,15.8113883,20.09975124,0.213883965,0.253685702,0.092002725,79.69515353,70.3226,71.9586,52.6149,10.3227,12.2414,17.2605,56.3,55.1,25.8,90,95.6,84.7,10,1.8165
26,16.8,2.16,60,1,1,172.185946,43.01162634,5,25.07987241,21.09502311,21.40093456,17,25.07987241,0.249797543,0.199363056,0.122513037,80.6671303,83.56988889,86.21277778,60.47144444,12.64322222,15.13622222,18.09588889,64,62,29.77777778,108.8888889,116.6666667,96.44444444,9,2.689222222
27,16.8,1.58,54,1.003403953,1,152.8953891,36.87817783,5.099019514,19.92485885,18.11077028,17.49285568,15.5241747,19.92485885,0.241198757,0.255912454,0.118452037,73.96766065,66.9969,69.6491,57.8332,10.4503,12.5653,14.1687,52.7,52.2,36.9,89.1,96.4,87.7,10,2.4853
28,16.8,2.36,65,0.859353664,1,184.1738309,42.29657197,7.071067812,22.20360331,20,19.84943324,17.4642492,22.20360331,0.22965571,0.318464878,0.108593061,72.71499451,73.7879,72.5746,59.0493,10.1394,12.5177,15.106,58.9,54,35.5,97.4,101.9,93.8,10,3.8168
29,16.7,1.98,59,0.964071302,1,169.1064753,38.01315562,7.071067812,21.37755833,18.24828759,17.02938637,17,21.37755833,0.224788291,0.330770601,0.107910046,77.83612863,67.81466667,71.53311111,59.97722222,11.02111111,13.46522222,16.41111111,46.55555556,45.55555556,25.55555556,89.22222222,97.44444444,90.44444444,9,4.586444444
30,16.7,1.71,57,0.923361034,1,158.0031645,32.01562119,6,21.02379604,17.11724277,21.26029163,13.92838828,21.02379604,0.202626456,0.285390896,0.10833481,69.85158586,82.37844444,81.80122222,73.40888889,9.749111111,11.68988889,14.24966667,69,65.77777778,52.66666667,105.1111111,109.3333333,106.2222222,9,2.926444444
